source_doc,eval_type,eval_method,variant,score,duration
10,N-gram,Rouge1,inserted_sentence_0.3,0.8202294942626435,0.011811256408691406
10,N-gram,Rouge2,inserted_sentence_0.3,0.8142006802721089,0.013443470001220703
10,Graph-based,AutoSummENG,inserted_sentence_0.3,0.666141,5.349128484725952
10,Graph-based,MeMoG,inserted_sentence_0.3,0.666141,5.349128484725952
10,Meta,NPowER,inserted_sentence_0.3,0.611277,5.349128484725952
10,Embeddings-based,BERTScore,inserted_sentence_0.3,0.6633569002151489,0.5464355945587158
10,N-gram,Rouge1,inserted_sentence_0.5,0.7383909803172177,0.01941204071044922
10,N-gram,Rouge2,inserted_sentence_0.5,0.732555916650736,0.013599157333374023
10,Graph-based,AutoSummENG,inserted_sentence_0.5,0.568674,6.118146181106567
10,Graph-based,MeMoG,inserted_sentence_0.5,0.568674,6.118146181106567
10,Meta,NPowER,inserted_sentence_0.5,0.530421,6.118146181106567
10,Embeddings-based,BERTScore,inserted_sentence_0.5,0.6823941469192505,0.49604225158691406
10,N-gram,Rouge1,inserted_sentence_0.7,0.6969696969696971,0.01967787742614746
10,N-gram,Rouge2,inserted_sentence_0.7,0.6918080115481776,0.0033364295959472656
10,Graph-based,AutoSummENG,inserted_sentence_0.7,0.501641,6.878427982330322
10,Graph-based,MeMoG,inserted_sentence_0.7,0.501641,6.878427982330322
10,Meta,NPowER,inserted_sentence_0.7,0.474812,6.878427982330322
10,Embeddings-based,BERTScore,inserted_sentence_0.7,0.673015832901001,0.5343618392944336
10,N-gram,Rouge1,inserted_sentence_0.9,0.6870554765291608,0.0156400203704834
10,N-gram,Rouge2,inserted_sentence_0.9,0.6819637139807897,0.022523164749145508
10,Graph-based,AutoSummENG,inserted_sentence_0.9,0.491419,7.195874452590942
10,Graph-based,MeMoG,inserted_sentence_0.9,0.491419,7.195874452590942
10,Meta,NPowER,inserted_sentence_0.9,0.466331,7.195874452590942
10,Embeddings-based,BERTScore,inserted_sentence_0.9,0.6446420550346375,0.5477454662322998
10,N-gram,Rouge1,randomly_swapped_words_0.1,1.0,0.0189359188079834
10,N-gram,Rouge2,randomly_swapped_words_0.1,0.8445247933884297,0.0020897388458251953
10,Graph-based,AutoSummENG,randomly_swapped_words_0.1,0.683179,4.098329782485962
10,Graph-based,MeMoG,randomly_swapped_words_0.1,0.683179,4.098329782485962
10,Meta,NPowER,randomly_swapped_words_0.1,0.625411,4.098329782485962
10,Embeddings-based,BERTScore,randomly_swapped_words_0.1,0.9452948570251465,0.43689727783203125
10,N-gram,Rouge1,randomly_swapped_words_0.3,1.0,0.010315418243408203
10,N-gram,Rouge2,randomly_swapped_words_0.3,0.6544421487603306,0.009434223175048828
